tag,variant,rep,wall_ms,cpu_l17_ms,h2d_ms,gpu_l8_ms,d2h_ms,diff_bytes,psnr_y_db,ssim,vram_kb
gb10,fp64,1,4731,3337.24,506.18,533.58,3.50,0,inf,1.000000,45382
gb10,fp64,2,4719,3361.04,515.14,533.38,3.48,0,inf,1.000000,45382
gb10,fp64,3,4723,3370.53,506.69,534.85,3.55,0,inf,1.000000,45382
gb10,fp64,4,4723,3367.80,511.37,536.70,3.54,0,inf,1.000000,45382
gb10,fp64,5,4692,3359.95,498.11,535.65,3.40,0,inf,1.000000,45382
gb10,fp64,6,4693,3364.14,499.76,534.73,3.40,0,inf,1.000000,45382
gb10,fp16,1,4959,3383.32,156.62,985.25,4.59,339712,64.639959,0.999859,11939
gb10,fp16,2,4899,3350.35,141.41,967.32,4.44,339712,64.639959,0.999859,11939
gb10,fp16,3,4953,3388.62,141.41,977.39,4.52,339712,64.639959,0.999859,11939
gb10,fp16,4,4923,3339.32,157.41,981.74,4.49,339712,64.639959,0.999859,11939
gb10,fp16,5,4989,3374.97,158.95,986.98,4.58,339712,64.639959,0.999859,11939
gb10,fp16,6,4971,3384.01,144.79,977.26,4.49,339712,64.639959,0.999859,11939
gb10,bf16,1,4836,3357.33,152.04,893.81,4.52,2844668,55.404578,0.998824,11939
gb10,bf16,2,4845,3334.22,149.16,886.98,4.42,2844668,55.404578,0.998824,11939
gb10,bf16,3,4878,3353.14,151.83,897.21,4.57,2844668,55.404578,0.998824,11939
gb10,bf16,4,4928,3396.29,157.74,903.80,4.45,2844668,55.404578,0.998824,11939
gb10,bf16,5,4898,3365.64,157.37,900.63,4.54,2844668,55.404578,0.998824,11939
gb10,bf16,6,4810,3358.82,140.37,879.07,4.48,2844668,55.404578,0.998824,11939
