tag,variant,rep,wall_ms,cpu_l17_ms,h2d_ms,gpu_l8_ms,d2h_ms,diff_bytes,psnr_y_db,ssim,vram_kb
rtx4090,fp64,1,6064,5191.50,314.57,358.79,16.60,0,inf,1.000000,45382
rtx4090,fp64,2,5611,4772.69,313.93,358.91,17.43,0,inf,1.000000,45382
rtx4090,fp64,3,5387,4519.64,313.43,355.60,15.95,0,inf,1.000000,45382
rtx4090,fp64,4,5666,4827.01,317.63,361.19,16.25,0,inf,1.000000,45382
rtx4090,fp64,5,5384,4536.67,313.22,355.53,16.41,0,inf,1.000000,45382
rtx4090,fp64,6,5447,4639.27,314.17,356.84,17.17,0,inf,1.000000,45382
rtx4090,fp16,1,7028,5509.32,39.02,1088.82,18.87,339712,64.639959,0.999859,11939
rtx4090,fp16,2,7493,5936.96,42.05,1185.47,17.94,339712,64.639959,0.999859,11939
rtx4090,fp16,3,6247,4905.57,35.91,983.34,17.85,339712,64.639959,0.999859,11939
rtx4090,fp16,4,7513,5958.53,40.45,1160.05,18.35,339712,64.639959,0.999859,11939
rtx4090,fp16,5,6125,4782.41,36.00,958.20,16.24,339712,64.639959,0.999859,11939
rtx4090,fp16,6,6394,5014.58,36.20,1001.68,17.96,339712,64.639959,0.999859,11939
rtx4090,bf16,1,6397,5085.82,35.88,929.43,17.28,2844668,55.404578,0.998824,11939
rtx4090,bf16,2,6230,4963.88,36.21,909.43,17.14,2844668,55.404578,0.998824,11939
rtx4090,bf16,3,6159,4904.90,35.10,881.03,16.61,2844668,55.404578,0.998824,11939
rtx4090,bf16,4,5988,4741.10,34.19,863.10,16.21,2844668,55.404578,0.998824,11939
rtx4090,bf16,5,5926,4742.65,34.18,863.70,16.99,2844668,55.404578,0.998824,11939
rtx4090,bf16,6,6439,5110.58,36.14,924.93,17.38,2844668,55.404578,0.998824,11939
