tag,phase,block_x,block_y,threads_reduce,rep,wall_ms,cpu_l17_ms,h2d_ms,gpu_l8_ms,d2h_ms,deconv_ms,reduce_ms,in_window_other_ms,vram_kb
gb10,A,16,16,256,1,4961,3385.29,683.47,693.94,3.58,,,,45382
gb10,A,16,16,256,2,4958,3412.39,689.27,698.19,3.61,,,,45382
gb10,A,16,16,256,3,4964,3412.22,683.15,697.11,3.46,,,,45382
gb10,A,16,16,256,4,5001,3477.56,682.27,697.06,3.52,,,,45382
gb10,A,16,16,256,5,4902,3396.52,666.45,694.70,3.39,,,,45382
gb10,A,16,16,256,6,4936,3421.04,681.67,698.08,3.40,,,,45382
gb10,A,8,8,256,1,4889,3378.29,662.56,667.50,3.56,,,,45382
gb10,A,8,8,256,2,4875,3369.58,651.55,665.30,3.57,,,,45382
gb10,A,8,8,256,3,4831,3369.21,642.62,668.53,3.34,,,,45382
gb10,A,8,8,256,4,4999,3488.96,662.06,670.83,3.52,,,,45382
gb10,A,8,8,256,5,4892,3396.06,658.11,669.78,3.41,,,,45382
gb10,A,8,8,256,6,4845,3369.27,646.21,674.23,3.50,,,,45382
gb10,A,32,8,256,1,4791,3418.10,520.45,534.35,3.50,,,,45382
gb10,A,32,8,256,2,4714,3373.53,497.13,530.87,3.39,,,,45382
gb10,A,32,8,256,3,4716,3366.66,510.49,532.42,3.45,,,,45382
gb10,A,32,8,256,4,4753,3390.65,528.40,536.78,3.52,,,,45382
gb10,A,32,8,256,5,4761,3417.92,504.52,529.93,3.41,,,,45382
gb10,A,32,8,256,6,4769,3390.05,523.95,534.79,3.51,,,,45382
gb10,A,16,16,128,1,4928,3397.27,687.32,699.32,3.51,,,,45382
gb10,A,16,16,128,2,5008,3464.92,696.92,699.39,3.54,,,,45382
gb10,A,16,16,128,3,4945,3391.87,696.52,700.53,3.53,,,,45382
gb10,A,16,16,128,4,4883,3374.12,668.43,696.50,3.41,,,,45382
gb10,A,16,16,128,5,4926,3376.31,695.47,703.21,3.59,,,,45382
gb10,A,16,16,128,6,4906,3397.93,668.91,695.49,3.46,,,,45382
gb10,A,16,16,512,1,4931,3434.66,661.14,691.82,3.44,,,,45382
gb10,A,16,16,512,2,4888,3387.18,663.58,694.76,3.49,,,,45382
gb10,A,16,16,512,3,4928,3391.84,691.05,704.75,3.56,,,,45382
gb10,A,16,16,512,4,4905,3371.30,687.97,701.30,3.49,,,,45382
gb10,A,16,16,512,5,4935,3419.74,669.02,697.00,3.44,,,,45382
gb10,A,16,16,512,6,4996,3500.93,662.46,697.39,3.49,,,,45382
gb10,B,16,16,256,1,4892,3383.61,680.28,697.53,3.47,565.01,24.97,107.56,45382
gb10,B,16,16,256,2,4988,3415.84,711.99,712.00,3.48,564.92,27.02,120.06,45382
gb10,B,16,16,256,3,4944,3373.21,715.53,709.44,3.51,563.96,27.10,118.39,45382
gb10,B,16,16,256,4,4914,3387.54,691.24,703.19,3.37,563.97,25.27,113.94,45382
gb10,B,16,16,256,5,4928,3355.66,712.77,709.05,3.67,565.95,27.04,116.06,45382
gb10,B,16,16,256,6,4885,3359.48,685.35,702.01,3.42,564.62,25.10,112.28,45382
gb10,B,8,8,256,1,4909,3366.79,674.29,689.95,3.46,546.67,24.76,118.53,45382
gb10,B,8,8,256,2,4854,3329.78,677.54,686.05,3.51,546.10,24.60,115.35,45382
gb10,B,8,8,256,3,4950,3395.63,689.57,691.46,3.46,546.09,25.62,119.75,45382
gb10,B,8,8,256,4,4915,3381.29,686.19,688.02,3.52,546.09,25.02,116.91,45382
gb10,B,8,8,256,5,4878,3363.15,686.85,685.71,3.43,546.55,23.74,115.42,45382
gb10,B,8,8,256,6,4888,3375.29,673.10,688.54,3.52,546.12,24.63,117.79,45382
gb10,B,32,8,256,1,4827,3373.64,585.76,580.50,3.52,424.87,27.18,128.46,45382
gb10,B,32,8,256,2,4755,3339.18,578.83,580.52,3.54,423.46,26.78,130.29,45382
gb10,B,32,8,256,3,4773,3378.42,546.59,576.52,3.43,423.17,24.89,128.47,45382
gb10,B,32,8,256,4,4760,3365.16,555.27,568.45,3.41,423.82,25.14,119.50,45382
gb10,B,32,8,256,5,4809,3370.41,582.61,580.57,3.45,425.06,26.91,128.59,45382
gb10,B,32,8,256,6,4810,3374.54,583.07,581.63,3.59,424.03,27.03,130.57,45382
gb10,B,16,16,128,1,4903,3360.26,690.95,707.46,3.44,566.72,25.51,115.23,45382
gb10,B,16,16,128,2,4934,3387.24,691.25,711.54,3.48,566.10,26.04,119.41,45382
gb10,B,16,16,128,3,4939,3387.09,698.78,707.61,3.49,565.51,26.44,115.65,45382
gb10,B,16,16,128,4,4908,3368.50,698.77,707.45,3.47,566.08,25.61,115.77,45382
gb10,B,16,16,128,5,4866,3365.10,678.16,700.70,3.49,565.30,25.14,110.26,45382
gb10,B,16,16,128,6,4859,3313.86,714.96,710.95,3.53,565.89,26.75,118.32,45382
gb10,B,16,16,512,1,4927,3367.95,708.70,712.27,3.43,565.57,27.11,119.60,45382
gb10,B,16,16,512,2,4927,3355.65,722.52,712.73,3.56,564.95,27.06,120.72,45382
gb10,B,16,16,512,3,4907,3397.57,687.23,704.22,3.46,565.53,25.17,113.52,45382
gb10,B,16,16,512,4,4910,3383.53,691.99,704.95,3.45,565.22,26.03,113.71,45382
gb10,B,16,16,512,5,4848,3350.36,677.47,699.74,3.45,564.95,25.21,109.59,45382
gb10,B,16,16,512,6,4837,3332.64,687.45,701.74,3.44,564.81,25.11,111.82,45382
