tag,phase,block_x,block_y,threads_reduce,rep,wall_ms,cpu_l17_ms,h2d_ms,gpu_l8_ms,d2h_ms,deconv_ms,reduce_ms,in_window_other_ms,vram_kb
rtx4090,A,16,16,256,1,5562,4662.56,389.61,433.62,16.83,,,,45382
rtx4090,A,16,16,256,2,5527,4598.32,395.43,438.74,16.22,,,,45382
rtx4090,A,16,16,256,3,5485,4544.74,396.15,440.35,16.92,,,,45382
rtx4090,A,16,16,256,4,5893,4956.73,396.62,442.18,17.22,,,,45382
rtx4090,A,16,16,256,5,5490,4585.17,388.80,434.22,16.70,,,,45382
rtx4090,A,16,16,256,6,5584,4678.80,388.84,433.24,17.23,,,,45382
rtx4090,A,8,8,256,1,5475,4576.37,368.17,412.22,16.02,,,,45382
rtx4090,A,8,8,256,2,5493,4560.93,366.95,410.93,16.54,,,,45382
rtx4090,A,8,8,256,3,5587,4679.15,369.58,412.86,16.73,,,,45382
rtx4090,A,8,8,256,4,5582,4690.47,369.57,413.90,16.88,,,,45382
rtx4090,A,8,8,256,5,5501,4577.13,367.87,411.38,16.33,,,,45382
rtx4090,A,8,8,256,6,5531,4643.62,363.55,408.48,16.29,,,,45382
rtx4090,A,32,8,256,1,5411,4575.80,316.98,359.08,15.87,,,,45382
rtx4090,A,32,8,256,2,5538,4705.56,314.61,356.97,16.26,,,,45382
rtx4090,A,32,8,256,3,5366,4519.32,315.14,357.45,16.05,,,,45382
rtx4090,A,32,8,256,4,5507,4670.91,313.23,356.22,16.29,,,,45382
rtx4090,A,32,8,256,5,5560,4674.22,331.06,375.33,17.01,,,,45382
rtx4090,A,32,8,256,6,5445,4601.17,317.35,360.45,17.03,,,,45382
rtx4090,A,16,16,128,1,5628,4700.62,391.05,434.97,16.76,,,,45382
rtx4090,A,16,16,128,2,5592,4659.31,397.37,441.98,16.34,,,,45382
rtx4090,A,16,16,128,3,5586,4658.86,393.37,436.86,16.32,,,,45382
rtx4090,A,16,16,128,4,5669,4756.21,391.61,435.99,17.46,,,,45382
rtx4090,A,16,16,128,5,5470,4556.89,390.17,433.66,16.35,,,,45382
rtx4090,A,16,16,128,6,5473,4547.25,398.13,441.49,15.85,,,,45382
rtx4090,A,16,16,512,1,5744,4825.20,385.80,430.89,16.31,,,,45382
rtx4090,A,16,16,512,2,5472,4558.69,391.83,435.70,17.07,,,,45382
rtx4090,A,16,16,512,3,5634,4717.22,386.22,430.65,17.03,,,,45382
rtx4090,A,16,16,512,4,5770,4839.75,385.67,431.51,17.06,,,,45382
rtx4090,A,16,16,512,5,5597,4676.96,396.09,440.72,16.20,,,,45382
rtx4090,A,16,16,512,6,5787,4866.13,389.01,434.00,16.41,,,,45382
rtx4090,B,16,16,256,1,5361,4416.06,390.95,465.33,16.41,310.46,2.62,152.26,45382
rtx4090,B,16,16,256,2,5581,4612.11,389.42,465.12,16.51,308.72,2.63,153.78,45382
rtx4090,B,16,16,256,3,5598,4644.50,386.31,464.69,16.97,308.55,2.63,153.51,45382
rtx4090,B,16,16,256,4,5422,4473.31,392.07,463.42,15.78,308.74,2.62,152.06,45382
rtx4090,B,16,16,256,5,6225,5232.78,392.04,470.16,17.28,309.98,2.62,157.55,45382
rtx4090,B,16,16,256,6,5382,4451.93,392.34,470.70,16.07,315.47,2.63,152.60,45382
rtx4090,B,8,8,256,1,5546,4601.22,390.22,467.11,16.27,311.88,2.62,152.62,45382
rtx4090,B,8,8,256,2,5492,4535.73,396.48,469.94,16.10,315.65,2.64,151.65,45382
rtx4090,B,8,8,256,3,5427,4488.47,393.42,466.59,17.02,313.16,2.61,150.82,45382
rtx4090,B,8,8,256,4,5413,4458.90,394.32,466.79,15.95,312.70,2.62,151.47,45382
rtx4090,B,8,8,256,5,5886,4896.16,390.51,467.85,16.40,311.37,2.62,153.87,45382
rtx4090,B,8,8,256,6,5312,4368.98,393.48,464.71,16.59,309.91,2.64,152.16,45382
rtx4090,B,32,8,256,1,5612,4704.32,342.57,416.85,16.79,261.72,2.62,152.50,45382
rtx4090,B,32,8,256,2,5395,4496.06,342.08,414.23,16.63,259.25,2.62,152.36,45382
rtx4090,B,32,8,256,3,5515,4615.70,343.88,416.26,15.86,261.18,2.63,152.45,45382
rtx4090,B,32,8,256,4,5401,4476.09,345.93,422.64,16.46,267.98,2.63,152.03,45382
rtx4090,B,32,8,256,5,5465,4569.23,344.54,415.06,16.76,260.89,2.62,151.56,45382
rtx4090,B,32,8,256,6,5339,4446.67,343.04,414.95,16.32,260.39,2.62,151.94,45382
rtx4090,B,16,16,128,1,5306,4376.62,394.01,465.18,16.08,309.14,2.35,153.69,45382
rtx4090,B,16,16,128,2,5314,4376.53,390.79,465.33,16.36,309.91,2.36,153.06,45382
